broad_id,name,target,target_hit,coverage
BRD-K51791723-003-01-7,P276-00,"CDK1, CDK4, CDK9",True,931
BRD-K33622447-066-01-9,abemaciclib,"CDK4, CDK6",True,917
BRD-K60997853-001-02-3,PHA-848125,"CDK2, CDK4, CDK7, NTRK1",True,915
BRD-K03449891-001-08-6,foretinib,"FLT1, FLT4, KDR, MET",True,913
BRD-K33379087-001-07-5,tivantinib,MET,True,908
BRD-K44227013-001-06-4,ponatinib,"ABL1, BCR, FGFR1, FGFR2, FGFR3, FGFR4, FLT3, KDR, KIT, LCK, LYN, PDGFRA, RET, SRC, TEK",True,904
BRD-K25412176-001-01-9,GSK2110183,"AKT1, AKT2, AKT3",True,903
BRD-K46386702-001-02-1,ARRY-334543,ERBB2,True,901
BRD-K71480163-001-01-4,GDC-0068,"AKT1, AKT2, AKT3, PRKG1",True,901
BRD-K57169635-001-04-5,dacomitinib,"EGFR, ERBB2, ERBB4",True,897
BRD-K38332599-001-01-3,uprosertib,"AKT1, AKT2, AKT3",True,897
BRD-K85606544-001-09-1,neratinib,"EGFR, ERBB2, KDR",True,896
BRD-K42805893-001-04-9,osimertinib,EGFR,True,896
BRD-K38527262-300-01-0,atiprimod,"JAK2, STAT3",True,894
BRD-K18961567-001-01-1,LY2801653,MET,True,893
BRD-K26026438-001-01-0,tucatinib,ERBB2,True,891
BRD-K50168500-001-07-9,canertinib,"AKT1, EGFR, ERBB2, ERBB4",True,890
BRD-K39974922-001-04-3,lenvatinib,"FLT4, KDR",True,889
BRD-K08799216-001-05-3,pelitinib,EGFR,True,888
BRD-K03765900-001-01-9,XL-647,"EGFR, EPHB4, ERBB2, FLT4, KDR",True,884
BRD-K36788280-001-01-2,ribociclib,"CDK4, CDK6",True,884
BRD-K99749624-001-07-0,linifanib,"CSF1, CSF1R, FLT1, FLT3, FLT4, KDR, KIT, PDGFRB, RET, TEK",True,883
BRD-K53414658-001-08-2,tivozanib,"FLT1, FLT4, KDR, KIT, PDGFRA, PDGFRB",True,882
BRD-K29905972-001-06-3,axitinib,"CSF1, FLT1, FLT4, KDR, PLK4",True,872
