dataset,method,metric,mean,sd,ci_low,ci_high,n
CCLE,adaptive_fusion,pcc,0.7285701950351748,0.0025454943576190166,0.7267492580672977,0.730391132003052,10
CCLE,adaptive_fusion,rmse,0.6849086066919956,0.0027530030319428455,0.6829392269608885,0.6868779864231027,10
CCLE,adaptive_fusion,mae,0.49961816060123165,0.0017412587051781891,0.49837253916137014,0.5008637820410932,10
CCLE,fixed_fusion,pcc,0.729853227932806,0.0024608777211960727,0.7280928220601556,0.7316136338054565,10
CCLE,fixed_fusion,rmse,0.6834468052702007,0.002683132693324889,0.6815274077683476,0.6853662027720538,10
CCLE,fixed_fusion,mae,0.4981793127223749,0.001666873970229571,0.496986902916359,0.49937172252839085,10
CCLE,imputer_only,pcc,0.7267890120973812,0.002316903219720736,0.7251315993786474,0.7284464248161151,10
CCLE,imputer_only,rmse,0.6870198166002638,0.0025780093061335326,0.685175619839419,0.6888640133611086,10
CCLE,imputer_only,mae,0.5011271092761602,0.0015515285644918482,0.5000172126027128,0.5022370059496076,10
CCLE,ridge_only,pcc,0.7236802832569383,0.0028191815903345573,0.7216635622370573,0.7256970042768194,10
CCLE,ridge_only,rmse,0.6905463092592208,0.0030114220258777072,0.6883920677161638,0.6927005508022778,10
CCLE,ridge_only,mae,0.5048788672238851,0.0018700925190231635,0.5035410836255647,0.5062166508222055,10
ERKAUC30,adaptive_fusion,pcc,0.6702592185542874,0.0035030436633417695,0.6677532920777371,0.6727651450308376,10
ERKAUC30,adaptive_fusion,rmse,0.7442875838188081,0.0032604483820460693,0.741955199552093,0.7466199680855232,10
ERKAUC30,adaptive_fusion,mae,0.504041503987201,0.0020445935087061813,0.5025788899008091,0.505504118073593,10
ERKAUC30,fixed_fusion,pcc,0.6696938991481945,0.00320441392580451,0.6674015995167251,0.671986198779664,10
ERKAUC30,fixed_fusion,rmse,0.745859722663665,0.002977729432187009,0.7437295833501852,0.7479898619771447,10
ERKAUC30,fixed_fusion,mae,0.5055764677555397,0.0019149075608986307,0.5042066254075216,0.5069463101035577,10
ERKAUC30,imputer_only,pcc,0.6530264690164986,0.0032969408429093217,0.6506679796158884,0.6553849584171089,10
ERKAUC30,imputer_only,rmse,0.7688969595651325,0.003055491876788825,0.7667111923498803,0.7710827267803847,10
ERKAUC30,imputer_only,mae,0.5241865820397471,0.0022724019414428072,0.5225610036177547,0.5258121604617395,10
ERKAUC30,ridge_only,pcc,0.6640020582595372,0.003928303546732402,0.6611919191885637,0.6668121973305107,10
ERKAUC30,ridge_only,rmse,0.749785965502537,0.003662277705474019,0.747166129854279,0.7524058011507949,10
ERKAUC30,ridge_only,mae,0.5082027049620929,0.0022478822570083114,0.5065946668656933,0.5098107430584924,10
ERKIC50,adaptive_fusion,pcc,0.6480349107288228,0.004299789594521677,0.6449590265480849,0.6511107949095607,10
ERKIC50,adaptive_fusion,rmse,0.7635730802628087,0.0040247140097258065,0.7606939733013233,0.7664521872242941,10
ERKIC50,adaptive_fusion,mae,0.577782094067891,0.002076617852407723,0.5762965711460725,0.5792676169897096,10
