dataset,seed,fold,selected_alpha,inner_pcc
CCLE,0,1,0.3,0.6888399413466832
CCLE,0,2,0.3,0.6951934128328506
CCLE,0,3,0.3,0.6945365544515246
CCLE,0,4,0.3,0.6939989009203881
CCLE,0,5,0.3,0.6878253680719035
CCLE,0,6,0.4,0.704060397439871
CCLE,0,7,0.3,0.6943923159864556
CCLE,0,8,0.3,0.6977566844684235
CCLE,0,9,0.3,0.6919947262321854
CCLE,0,10,0.3,0.6862191754801271
CCLE,1,1,0.3,0.7025947999720471
CCLE,1,2,0.3,0.6920981613202564
CCLE,1,3,0.3,0.6936657521696089
CCLE,1,4,0.3,0.6932958836240157
CCLE,1,5,0.3,0.6922182319414959
CCLE,1,6,0.3,0.6927731361230517
CCLE,1,7,0.3,0.6979363736161964
CCLE,1,8,0.4,0.6904424221046274
CCLE,1,9,0.3,0.7025142404152167
CCLE,1,10,0.3,0.7010142150615165
CCLE,2,1,0.3,0.6944761240654704
CCLE,2,2,0.3,0.6983390861181766
CCLE,2,3,0.3,0.698140409029639
CCLE,2,4,0.3,0.7039863073517931
CCLE,2,5,0.3,0.6898578344731099
CCLE,2,6,0.3,0.6936236447524203
CCLE,2,7,0.3,0.6885635580610727
CCLE,2,8,0.4,0.6958143491530501
CCLE,2,9,0.3,0.6927903532210189
CCLE,2,10,0.3,0.6952413076765571
CCLE,3,1,0.3,0.6943284492411166
CCLE,3,2,0.3,0.6973481559176168
CCLE,3,3,0.3,0.6884893371722518
CCLE,3,4,0.3,0.6882244323706589
CCLE,3,5,0.3,0.6879674568340898
CCLE,3,6,0.2,0.6942112290599901
CCLE,3,7,0.3,0.6892383714975663
CCLE,3,8,0.3,0.7008988233953521
CCLE,3,9,0.4,0.692100213548603
CCLE,3,10,0.3,0.6975111061489214
CCLE,4,1,0.4,0.6911121293911651
CCLE,4,2,0.4,0.6943628707814444
CCLE,4,3,0.3,0.6971244665268188
CCLE,4,4,0.3,0.6872262359208198
CCLE,4,5,0.3,0.7006714230835507
CCLE,4,6,0.3,0.6919828587105304
CCLE,4,7,0.2,0.6902066055209821
CCLE,4,8,0.3,0.6831490244653372
CCLE,4,9,0.3,0.6909212700206925
CCLE,4,10,0.4,0.7083723723110845
CCLE,5,1,0.3,0.6998243618003511
CCLE,5,2,0.3,0.6888367335961172
CCLE,5,3,0.4,0.6893986332998041
CCLE,5,4,0.3,0.6943009771826739
CCLE,5,5,0.3,0.6943520091506138
CCLE,5,6,0.3,0.6923955265155465
CCLE,5,7,0.3,0.6935067023835615
CCLE,5,8,0.3,0.6900993434475626
CCLE,5,9,0.3,0.6904793602551207
CCLE,5,10,0.3,0.6943750896703558
CCLE,6,1,0.3,0.6977651329914517
CCLE,6,2,0.3,0.7100974765321557
CCLE,6,3,0.3,0.7020217556436287
CCLE,6,4,0.3,0.6904534811561857
CCLE,6,5,0.3,0.6971045585275049
CCLE,6,6,0.3,0.7017620108607019
CCLE,6,7,0.3,0.6886452263739476
CCLE,6,8,0.4,0.6949007604384381
CCLE,6,9,0.3,0.6985663949803114
CCLE,6,10,0.3,0.689823620321398
CCLE,7,1,0.3,0.6970758185589878
CCLE,7,2,0.3,0.6887738354498328
CCLE,7,3,0.3,0.7052135603503603
CCLE,7,4,0.3,0.6998756901209349
CCLE,7,5,0.4,0.6948431599971103
CCLE,7,6,0.3,0.686915598248732
CCLE,7,7,0.3,0.6945714625551405
CCLE,7,8,0.3,0.690188375194701
CCLE,7,9,0.3,0.6920453249297115
CCLE,7,10,0.3,0.6950796282504333
CCLE,8,1,0.3,0.6930457689791224
CCLE,8,2,0.3,0.6835202442715461
CCLE,8,3,0.3,0.6953652034436913
CCLE,8,4,0.4,0.695509539457208
CCLE,8,5,0.2,0.6859975919416522
CCLE,8,6,0.3,0.6930245429620494
CCLE,8,7,0.4,0.7080103187544466
CCLE,8,8,0.3,0.6941009553740729
CCLE,8,9,0.3,0.6956849223130005
CCLE,8,10,0.3,0.6957765999867351
CCLE,9,1,0.4,0.6941098758935077
CCLE,9,2,0.3,0.6978761287221671
CCLE,9,3,0.3,0.701038494202805
CCLE,9,4,0.3,0.6944065974723139
CCLE,9,5,0.2,0.6990733059365587
CCLE,9,6,0.4,0.7032671537568868
CCLE,9,7,0.3,0.6947670788948588
CCLE,9,8,0.3,0.683877632096521
CCLE,9,9,0.3,0.7080217042953888
CCLE,9,10,0.3,0.7056370381874186
ERKAUC30,0,1,0.3,0.605638529329406
ERKAUC30,0,2,0.3,0.623011378519728
ERKAUC30,0,3,0.3,0.6089260592430613
ERKAUC30,0,4,0.2,0.6215037429802373
ERKAUC30,0,5,0.3,0.5995110034852723
ERKAUC30,0,6,0.3,0.6268439536756956
ERKAUC30,0,7,0.3,0.6148970152674725
ERKAUC30,0,8,0.3,0.6167370504566951
ERKAUC30,0,9,0.3,0.6092098692753255
ERKAUC30,0,10,0.2,0.6155770676417549
ERKAUC30,1,1,0.3,0.6090889219808051
ERKAUC30,1,2,0.3,0.6034902301264649
ERKAUC30,1,3,0.3,0.6122473908732033
ERKAUC30,1,4,0.2,0.6003811947892086
ERKAUC30,1,5,0.3,0.6156481574527688
ERKAUC30,1,6,0.3,0.6335426661082613
ERKAUC30,1,7,0.3,0.6161255839828585
ERKAUC30,1,8,0.3,0.6201694741427053
ERKAUC30,1,9,0.3,0.6114026675475245
ERKAUC30,1,10,0.3,0.601503237538058
ERKAUC30,2,1,0.3,0.5987977348493627
ERKAUC30,2,2,0.3,0.6121613548628171
