dataset,seed,fold,method,pcc,rmse,mae,n_test,selected_alpha,inner_pcc
CCLE,0,1,imputer_only,0.7333902021787373,0.6913287411075834,0.4960483422449177,1136,,
CCLE,0,1,ridge_only,0.7455518400359503,0.6775304586559086,0.4868626401603507,1136,,
CCLE,0,1,fixed_fusion,0.744128799535849,0.67916292491417,0.4871300508948223,1136,,
CCLE,0,1,adaptive_fusion,0.7458343967584193,0.6772306606092134,0.4855539203520198,1136,0.3,0.6888399413466832
CCLE,0,2,imputer_only,0.734081057299343,0.6421144651072395,0.4829739156149872,1136,,
CCLE,0,2,ridge_only,0.7256247987533114,0.650342797604696,0.4897172801175516,1136,,
CCLE,0,2,fixed_fusion,0.7345389977904799,0.6407743827007466,0.481816770286943,1136,,
CCLE,0,2,adaptive_fusion,0.7321055776316328,0.6433075558490771,0.4838263877745319,1136,0.3,0.6951934128328506
CCLE,0,3,imputer_only,0.7174936164549971,0.7189065733881056,0.5124974746939982,1136,,
CCLE,0,3,ridge_only,0.7230602739812887,0.713001618877192,0.5095793714498426,1136,,
CCLE,0,3,fixed_fusion,0.7248610539011151,0.7110527962666316,0.5062494417754966,1136,,
CCLE,0,3,adaptive_fusion,0.725234518328746,0.7106514434837777,0.5063267650158951,1136,0.3,0.6945365544515246
CCLE,0,4,imputer_only,0.746634158137449,0.6722235391995566,0.4857625313360214,1136,,
CCLE,0,4,ridge_only,0.7387847399839401,0.681428206755367,0.4916763600174331,1136,,
CCLE,0,4,fixed_fusion,0.7474380148618534,0.6713386707315174,0.4836948472833504,1136,,
CCLE,0,4,adaptive_fusion,0.7450702941233205,0.674073147625199,0.4858356850456633,1136,0.3,0.6939989009203881
CCLE,0,5,imputer_only,0.753515874463673,0.643413315937659,0.4829509025497008,1136,,
CCLE,0,5,ridge_only,0.7469323075646169,0.6512748260999218,0.4871493735761401,1136,,
CCLE,0,5,fixed_fusion,0.755138419666569,0.6413248388077468,0.4791308411859832,1136,,
CCLE,0,5,adaptive_fusion,0.7530145134608728,0.6438763479637334,0.4807450677398149,1136,0.3,0.6878253680719035
CCLE,0,6,imputer_only,0.6741233268206482,0.7033982277151632,0.5089835999614492,1136,,
CCLE,0,6,ridge_only,0.6768017780588916,0.7030401336264605,0.5104750944745217,1136,,
CCLE,0,6,fixed_fusion,0.6800248669572623,0.6977211843065653,0.5048947721002599,1136,,
CCLE,0,6,adaptive_fusion,0.6800941539041565,0.6979058589341639,0.5052869342408728,1136,0.4,0.704060397439871
CCLE,0,7,imputer_only,0.7149174781286477,0.6880892311832939,0.5005410019428792,1136,,
