dataset,seed,fold,method,pcc,rmse,mae,n_test
CCLE,0,0,imputer_only,0.7307509887016822,0.6827652270549527,0.4984700810867124,11360
CCLE,0,0,ridge_only,0.728937874605278,0.6848024069545906,0.5009202900378933,11360
CCLE,0,0,fixed_fusion,0.7343934979956086,0.6784956575362573,0.494914669649694,11360
CCLE,0,0,adaptive_fusion,0.7333464024624732,0.6796903414987632,0.4960353637973409,11360
CCLE,1,0,imputer_only,0.7246191179474513,0.6890864878856632,0.5023134453033403,11360
CCLE,1,0,ridge_only,0.7189076926212995,0.6953845169704505,0.5073937633242487,11360
CCLE,1,0,fixed_fusion,0.7264768056850298,0.6868939817095561,0.5001662203437058,11360
CCLE,1,0,adaptive_fusion,0.7246821232286477,0.6888866891128639,0.501774019194919,11360
CCLE,2,0,imputer_only,0.7227706380163749,0.6917975923576174,0.5038255232034393,11360
CCLE,2,0,ridge_only,0.7215961833538385,0.6929696661777338,0.5067534738056784,11360
CCLE,2,0,fixed_fusion,0.726781220061612,0.6870223402655581,0.5004888561595309,11360
CCLE,2,0,adaptive_fusion,0.7259713091607642,0.6879333667058763,0.5016697052033546,11360
CCLE,3,0,imputer_only,0.7283036256674976,0.6853035690643134,0.502248240021355,11360
CCLE,3,0,ridge_only,0.7247134186788374,0.6893456725590802,0.5057791856101419,11360
CCLE,3,0,fixed_fusion,0.7310994651725705,0.6820330562197346,0.4993526272027492,11360
CCLE,3,0,adaptive_fusion,0.7296349025911626,0.6836997897123446,0.5008748384426455,11360
CCLE,4,0,imputer_only,0.7267290225028105,0.6871134145014356,0.5009558885982534,11360
CCLE,4,0,ridge_only,0.7231674995720035,0.6912407376609155,0.5038136981704374,11360
CCLE,4,0,fixed_fusion,0.7295084788220145,0.6838880437180822,0.4973860911184871,11360
CCLE,4,0,adaptive_fusion,0.7282826926909413,0.6853085932351459,0.4984659679900456,11360
CCLE,5,0,imputer_only,0.7263694966024067,0.6874012961728833,0.4993941121862123,11360
CCLE,5,0,ridge_only,0.7223733169081455,0.6919827664439633,0.5053382490801609,11360
CCLE,5,0,fixed_fusion,0.7290740125306475,0.6842675224258075,0.4976160789144365,11360
CCLE,5,0,adaptive_fusion,0.727551644271849,0.6860003566555969,0.4995769235022507,11360
CCLE,6,0,imputer_only,0.7247441242171339,0.6891985812997066,0.5017625618019799,11360
