dataset,seed,prediction_pearson,prediction_spearman,error_pearson,error_spearman,imputer_better_share,ridge_better_share,tie_share,fusion_delta_pcc_vs_imputer,fusion_delta_pcc_vs_ridge,fusion_rmse_gain_vs_imputer,fusion_rmse_gain_vs_ridge,fusion_mae_gain_vs_imputer,fusion_mae_gain_vs_ridge,n_test
CCLE,0,0.9752994351736284,0.9669274494535007,0.9691884056343002,0.9553611332691392,0.5027288732394366,0.4972711267605634,0.0,0.003642509293926399,0.005455623390330566,0.004269569518695393,0.006306749418333313,0.0035554114370184298,0.006005620388199295,11360
CCLE,1,0.9741170157832149,0.9671818036001184,0.9692609232914174,0.9560713554596446,0.5137323943661972,0.48626760563380284,0.0,0.0018576877375785505,0.007569113063730315,0.002192506176107112,0.008490535260894383,0.002147224959634486,0.007227542980542845,11360
CCLE,2,0.9747795499794527,0.9671165082193681,0.9691658500373946,0.9564295151803364,0.5076584507042253,0.49234154929577467,0.0,0.004010582045237188,0.005185036707773594,0.004775252092059312,0.005947325912175727,0.003336667043908448,0.006264617646147497,11360
CCLE,3,0.9749508830072016,0.9669428403566952,0.9693296686895366,0.9568614766775543,0.5058098591549296,0.4941901408450704,0.0,0.0027958395050728946,0.0063860464937330885,0.003270512844578799,0.007312616339345546,0.002895612818605786,0.006426558407392646,11360
CCLE,4,0.9750527565254495,0.9671193275169728,0.9694233861445744,0.954729793637989,0.5037852112676057,0.4962147887323944,0.0,0.0027794563192040656,0.006340979250010981,0.0032253707833533873,0.007352693942833333,0.003569797479766268,0.006427607051950335,11360
CCLE,5,0.9742589483766076,0.9667627547436186,0.9686878388402062,0.9549930047645948,0.5102992957746478,0.4897007042253521,0.0,0.002704515928240836,0.006700695622501973,0.0031337737470757965,0.00771524401815582,0.0017780332717758363,0.007722170165724407,11360
CCLE,6,0.9745801536145539,0.9664157156737851,0.9692785228643206,0.9553992442669027,0.5103873239436619,0.4895246478873239,8.802816901408451e-05,0.0029160881522395377,0.006358913312217163,0.0033900437288588714,0.007273043792063616,0.00266850004286745,0.007150499428426493,11360
CCLE,7,0.9743277398486253,0.9660908442555461,0.9682281748678951,0.9557543512306043,0.513556338028169,0.486443661971831,0.0,0.0039009475162240514,0.005509835021085152,0.004521454031660488,0.006456768219787357,0.003291955148833181,0.006796625797070299,11360
CCLE,8,0.9752683271017324,0.9670257313506746,0.9696140311603554,0.9557964851616166,0.5087147887323944,0.49128521126760566,0.0,0.0030296549397755834,0.006029854917251831,0.0035171903979729358,0.006976313551343871,0.003193646187924337,0.006908331898309139,11360
CCLE,9,0.9749178817197681,0.9663606436999793,0.9692488238867994,0.9561107742498767,0.5055457746478873,0.4944542253521127,0.0,0.003004876916750332,0.006193348980043201,0.003434439980268378,0.007163749435268207,0.0030411171475195897,0.006065971251339619,11360
ERKAUC30,0,0.9318810330483023,0.9101039907550352,0.9290597132721399,0.8965466107290996,0.48170312285046085,0.5182968771495391,0.0,0.01699015976813878,0.005520090923093912,0.023421960027324107,0.003691274400855593,0.019509348611370214,0.0023116942644434424,14538
ERKAUC30,1,0.9320602260505184,0.9121052868258728,0.930320437717875,0.9020128770083582,0.4874810840555785,0.5125189159444216,0.0,0.016642278154982204,0.005769034951284224,0.022631000469681806,0.00415313915779103,0.017870742523274807,0.002918795100677496,14538
ERKAUC30,2,0.9315281557026629,0.9135768070108323,0.931236897246963,0.9014795005102645,0.49552895859127805,0.504471041408722,0.0,0.015991286076731503,0.006591509954009922,0.021432796184168046,0.005050501054541634,0.016735528710847603,0.003962215099702515,14538
ERKAUC30,3,0.9325174381128226,0.9107084961186491,0.9278000392047627,0.8967509988637525,0.47241711377080753,0.5275828862291925,0.0,0.017418702149769927,0.0049001578654125355,0.02462717187305774,0.0029852575064408526,0.020866459636924795,0.0007069649641159303,14538
ERKAUC30,4,0.9322276369314856,0.9132486349333988,0.9295435179794335,0.899880227691365,0.47943320951987894,0.5205667904801211,0.0,0.01782507823755808,0.004520090528492893,0.024106755897344123,0.0028711518698019134,0.018823614820768775,0.002001488646866556,14538
ERKAUC30,5,0.9323944929924192,0.9096557435819367,0.9297039181876016,0.8974072859001643,0.4799147062869721,0.5200852937130279,0.0,0.019315239739746803,0.00281008366135016,0.025815143755735903,0.0010985785185371189,0.020252166738797595,0.001199565192086638,14538
ERKAUC30,6,0.9333096001821057,0.9125755836840117,0.9301230153667854,0.9016982456440468,0.48356032466639154,0.5164396753336085,0.0,0.01591892610229695,0.006332351590263463,0.021867237099647885,0.004708429905275313,0.01764558399144056,0.0030614723312455405,14538
ERKAUC30,7,0.9329799644433167,0.912793323187661,0.9302739158749673,0.8984518735860262,0.48555509698720595,0.5144449030127941,0.0,0.013943852291694925,0.008378912028892738,0.02035760278520804,0.006363271325041442,0.01777806838266216,0.0041447263226386255,14538
ERKAUC30,8,0.9299714920169848,0.9089192782883767,0.9279271858514798,0.8987328934530452,0.48142798184069335,0.5185720181593066,0.0,0.01626658143200732,0.006825976002027168,0.022844240490822454,0.0049281756375477714,0.01874052727284059,0.0025639107358129687,14538
ERKAUC30,9,0.9348221323381313,0.9120383117286025,0.9301043728150024,0.8997566931107843,0.48555509698720595,0.5144449030127941,0.0,0.016362197364032993,0.005270201381746831,0.02326846043168529,0.003412649012886071,0.017879102153147586,0.0033915394079433447,14538
ERKIC50,0,0.9533738643409417,0.9479792513015035,0.9590659556876953,0.9514802519139678,0.49601761315806514,0.5039823868419349,0.0,0.009194129992462163,0.005833708323566444,0.010696203427311257,0.00529026414816669,0.007779470070637617,0.004518124578751781,15443
ERKIC50,1,0.953766616113378,0.9474329283971983,0.9591086862621402,0.9506079020208356,0.5019750048565693,0.4980249951434307,0.0,0.008739837410939644,0.006287420547751332,0.010000851975753955,0.005870435228320758,0.007329632524869623,0.005612409017416442,15443
ERKIC50,2,0.9533668712904344,0.9487212173997226,0.9587196654141631,0.9514041891670231,0.4957585961276954,0.5042414038723046,0.0,0.009052777925831701,0.006125519422570114,0.010519315845387789,0.00546783750808566,0.00749848641763029,0.004543414266898305,15443
ERKIC50,3,0.9521958575948132,0.9460814495156713,0.9568908561298346,0.9485019131109124,0.4986077834617626,0.5013922165382374,0.0,0.009811141373620602,0.005820796360992309,0.01119916660830822,0.005462631632749959,0.007983445926936561,0.005012047053752133,15443
ERKIC50,4,0.9545717496046133,0.9494852759142786,0.9591614508830584,0.9515928646414672,0.5020397591141618,0.49796024088583823,0.0,0.00794885091687858,0.007030496882894144,0.009172230963544248,0.006504669277056174,0.006983712031799372,0.0055334553506575235,15443
ERKIC50,5,0.9542435310825195,0.9494236804270091,0.9587853526444807,0.9504644558826495,0.49731269830991387,0.5026873016900861,0.0,0.008284265741563823,0.006741957717808722,0.00972116084061514,0.006151031355640213,0.00793857611659221,0.004287198092192246,15443
ERKIC50,6,0.9533206142309463,0.948302556622685,0.9581208033662111,0.9498879426983333,0.5015217250534223,0.49847827494657776,0.0,0.007679072608476223,0.007633742102783669,0.009409178488597125,0.006751306807183499,0.008065730596086285,0.004656154573498661,15443
ERKIC50,7,0.9529298281977219,0.9468482213565514,0.9576809421856387,0.9494354620918046,0.5002266399015736,0.4997733600984265,0.0,0.007914079213645064,0.007570129783312618,0.009323150408903746,0.006972640350180415,0.007402848195692813,0.005195607136474489,15443
ERKIC50,8,0.9525322033326357,0.9481229805087227,0.957976557397731,0.9500196817252763,0.49821925791620797,0.501780742083792,0.0,0.009112185115997429,0.00626174172026539,0.01068909238788851,0.005674435983430426,0.0077328341941220735,0.004657347976275816,15443
ERKIC50,9,0.9518533972349215,0.9473852694405572,0.9579546585821519,0.9494625738282579,0.49899630900731723,0.5009389367350904,6.47542575924367e-05,0.006917113669406394,0.008762031991265795,0.008351436828391345,0.007988390331421513,0.006846699053732808,0.00575877242792,15443
PI3KAUC,0,0.9302574322401198,0.9212638714548459,0.9435745501975469,0.9208330587228064,0.48270947415797766,0.5172905258420224,0.0,0.01770722764754884,0.0033972077493877872,0.021201400298199058,0.001623406818139106,0.017273365212624903,0.001134254995116657,13331
