dataset,seed,quartile,method,pcc,rmse,mae,mean_disagreement,n_test
CCLE,0,1,imputer_only,0.7210463047192267,0.6293498662066341,0.47024386884728864,0.021940666284128486,2840
CCLE,0,1,ridge_only,0.7209890356428997,0.6294171459664799,0.47007844160505835,0.021940666284128486,2840
CCLE,0,1,fixed_fusion,0.7211395847634986,0.6292533123305436,0.47004363691399625,0.021940666284128486,2840
CCLE,0,2,imputer_only,0.720405183968725,0.663530309790597,0.4822779141041882,0.07002439402342236,2840
CCLE,0,2,ridge_only,0.720447664857367,0.6635489315959924,0.48223960731362675,0.07002439402342236,2840
CCLE,0,2,fixed_fusion,0.7213742134958785,0.6625729820397619,0.4813949614446858,0.07002439402342236,2840
CCLE,0,3,imputer_only,0.7359794366496045,0.6809576704383277,0.49650654771552144,0.132501718217366,2840
CCLE,0,3,ridge_only,0.7350735853778537,0.6819403888183767,0.4965510135045124,0.132501718217366,2840
CCLE,0,3,fixed_fusion,0.7385510627444898,0.6781302349047973,0.49336320740510187,0.132501718217366,2840
CCLE,0,4,imputer_only,0.7351484455316628,0.7514095727815134,0.5448519936798515,0.2812819675994958,2840
CCLE,0,4,ridge_only,0.729494685014403,0.7578334408843885,0.5548120977283758,0.2812819675994958,2840
CCLE,0,4,fixed_fusion,0.7432332424255031,0.7393254534250623,0.5348568728349921,0.2812819675994958,2840
CCLE,1,1,imputer_only,0.7170589999903533,0.6489344002749834,0.4772827628743548,0.02149558565464579,2840
CCLE,1,1,ridge_only,0.7165396580469222,0.6494472021544044,0.4777097309442134,0.02149558565464579,2840
CCLE,1,1,fixed_fusion,0.7169170380636269,0.649072633328925,0.4773719758237425,0.02149558565464579,2840
CCLE,1,2,imputer_only,0.7182302397370318,0.6521041331050198,0.4765695647025316,0.06893390575177889,2840
CCLE,1,2,ridge_only,0.7157940817246506,0.6545946447127984,0.47882696600014163,0.06893390575177889,2840
CCLE,1,2,fixed_fusion,0.7179507084457833,0.6523971629683963,0.4768067633318629,0.06893390575177889,2840
CCLE,1,3,imputer_only,0.704935996314542,0.6858066951873539,0.5016008646310017,0.13151823541126542,2840
CCLE,1,3,ridge_only,0.7044043506794628,0.6867511818160996,0.5038914194592713,0.13151823541126542,2840
CCLE,1,3,fixed_fusion,0.7076327273809927,0.6830298143456709,0.4992949204056804,0.13151823541126542,2840
CCLE,1,4,imputer_only,0.7404903407318267,0.7633310367787302,0.5538005890054732,0.28466876087083914,2840
CCLE,1,4,ridge_only,0.7253769567990157,0.7825186916427229,0.5691469368933687,0.28466876087083914,2840
CCLE,1,4,fixed_fusion,0.744344278207978,0.7575264348947784,0.5471912218135374,0.28466876087083914,2840
CCLE,2,1,imputer_only,0.7075905238906582,0.6437791941592247,0.4774720747994905,0.021790163375233942,2840
CCLE,2,1,ridge_only,0.7080073613935515,0.6434129274614997,0.4774628525270677,0.021790163375233942,2840
CCLE,2,1,fixed_fusion,0.7079155678591321,0.6434723339593372,0.4773233907235357,0.021790163375233942,2840
CCLE,2,2,imputer_only,0.7232189360442424,0.6658826282051412,0.4884005855550435,0.06932513223197327,2840
CCLE,2,2,ridge_only,0.7240517345288197,0.6651835129382773,0.48728689806702674,0.06932513223197327,2840
