dataset,method,pcc_slope,rmse_slope,mae_slope
CCLE,mfmr_base,-0.21012180368707187,0.25973659257421483,0.17332779788159045
CCLE,original_mclrp,-0.262909163707595,0.1505990387434766,0.09865193104548009
ERKAUC30,mfmr_base,-0.35119989598633516,0.3531673370426297,0.25786046395774215
ERKAUC30,original_mclrp,-0.429173953531205,0.13904047878199413,0.09463763422266336
ERKIC50,mfmr_base,-0.2944698709783277,0.2678619903140322,0.2126032849894902
ERKIC50,original_mclrp,-0.3195414403001979,0.058531582748969115,0.04803524347932164
PI3KAUC,mfmr_base,-0.2525001416931877,0.29887366340105836,0.20252638508833182
PI3KAUC,original_mclrp,-0.36092815700170533,0.16945087935568726,0.0998987141255876
PI3KIC50,mfmr_base,-0.26169215626074455,0.22766459855253926,0.19232647223133492
PI3KIC50,original_mclrp,-0.30550895873481554,0.034797187013060636,0.042960762668173245
