dataset,mask_ratio,method,metric,mean,sd,ci_low,ci_high,n
CCLE,0.1,mfmr_base,pcc,0.7253177796463338,0.011594300020828048,0.7170237170563337,0.7336118422363339,10
CCLE,0.1,mfmr_base,rmse,0.6807764740934097,0.019730980249387728,0.6666617811100907,0.6948911670767287,10
CCLE,0.1,mfmr_base,mae,0.4989943524884617,0.008253050759448408,0.493090475632218,0.5048982293447054,10
CCLE,0.1,original_mclrp,pcc,0.6935917797234536,0.015537501265610317,0.6824769208912967,0.7047066385556106,10
CCLE,0.1,original_mclrp,rmse,0.9281669319979541,0.040813840033939,0.8989704696697725,0.9573633943261357,10
CCLE,0.1,original_mclrp,mae,0.6989848253318494,0.017849033424404193,0.6862163960064851,0.7117532546572136,10
CCLE,0.15,mfmr_base,pcc,0.7197801504857576,0.009190876018029854,0.7132053938541774,0.7263549071173379,10
CCLE,0.15,mfmr_base,rmse,0.6881701602258069,0.024132870263673892,0.6709065448213671,0.7054337756302467,10
CCLE,0.15,mfmr_base,mae,0.5051684959948889,0.013798221071947472,0.4952978432607174,0.5150391487290603,10
CCLE,0.15,original_mclrp,pcc,0.6819155351790014,0.012510753142762633,0.6729658815192108,0.690865188838792,10
CCLE,0.15,original_mclrp,rmse,0.936968914201952,0.033523083967413214,0.912987944575836,0.9609498838280681,10
CCLE,0.15,original_mclrp,mae,0.7047792935702458,0.01487520474155986,0.6941382131303805,0.7154203740101112,10
CCLE,0.2,mfmr_base,pcc,0.7094225730933691,0.010684453328034223,0.7017793756184497,0.7170657705682885,10
CCLE,0.2,mfmr_base,rmse,0.7025066586849644,0.01760390892722787,0.6899135808614821,0.7150997365084467,10
CCLE,0.2,mfmr_base,mae,0.5132625877817857,0.011534230348222497,0.5050114964469244,0.5215136791166469,10
CCLE,0.2,original_mclrp,pcc,0.6697404927269932,0.00989470314232085,0.6626622485014294,0.676818736952557,10
CCLE,0.2,original_mclrp,rmse,0.9462631525049506,0.019516791896203835,0.932301680639264,0.9602246243706373,10
CCLE,0.2,original_mclrp,mae,0.709959106970405,0.00954843053974638,0.7031285712424474,0.7167896426983625,10
CCLE,0.25,mfmr_base,pcc,0.6980338155122879,0.009602447363458225,0.6911646384764486,0.7049029925481273,10
CCLE,0.25,mfmr_base,rmse,0.7172010995604934,0.011138382182498652,0.7092331809447054,0.7251690181762813,10
CCLE,0.25,mfmr_base,mae,0.522359732134231,0.011236425051804094,0.5143216778748025,0.5303977863936595,10
CCLE,0.25,original_mclrp,pcc,0.6567351812722567,0.008887940204289055,0.6503771318671071,0.6630932306774063,10
CCLE,0.25,original_mclrp,rmse,0.9546326459725718,0.011939075594505518,0.9460919457949254,0.9631733461502182,10
CCLE,0.25,original_mclrp,mae,0.7153819929337326,0.009507479932179276,0.7085807515057027,0.7221832343617626,10
CCLE,0.3,mfmr_base,pcc,0.6836604962113005,0.0076473531086940424,0.6781899093524648,0.6891310830701363,10
CCLE,0.3,mfmr_base,rmse,0.7311951525696202,0.010372632448626285,0.7237750183142166,0.7386152868250238,10
CCLE,0.3,mfmr_base,mae,0.5337306838891883,0.007931204409099347,0.528057042042334,0.5394043257360427,10
CCLE,0.3,original_mclrp,pcc,0.6404546657499273,0.008675295177828531,0.6342487334329803,0.6466605980668743,10
CCLE,0.3,original_mclrp,rmse,0.9569848257985132,0.011982614963715832,0.9484129794324199,0.9655566721646065,10
CCLE,0.3,original_mclrp,mae,0.7183464584114756,0.008727984147793858,0.7121028346759946,0.7245900821469566,10
