dataset,method,seed,drug_idx,drug,pcc,rmse,mae,n_test
PRISM19Q4_independent,original_mclrp,0,0,P276-00::BRD-K51791723-003-01-7,0.17372314225325158,0.5174191315282394,0.511900647847276,95
PRISM19Q4_independent,original_mclrp,0,1,abemaciclib::BRD-K33622447-066-01-9,0.38149291558110904,0.6594146630189389,0.6519916615988078,95
PRISM19Q4_independent,original_mclrp,0,2,PHA-848125::BRD-K60997853-001-02-3,0.20972080371097135,0.5755814152418812,0.5674376754384292,95
PRISM19Q4_independent,original_mclrp,0,3,foretinib::BRD-K03449891-001-08-6,0.2622813578428308,0.6078071652021224,0.599240230023861,95
PRISM19Q4_independent,original_mclrp,0,4,tivantinib::BRD-K33379087-001-07-5,0.08098601646798341,0.5977355558269706,0.5932706759164208,95
PRISM19Q4_independent,original_mclrp,0,5,ponatinib::BRD-K44227013-001-06-4,0.19816873196375515,0.6274713959472422,0.6220227045581695,94
PRISM19Q4_independent,original_mclrp,0,6,GSK2110183::BRD-K25412176-001-01-9,0.19740009474468556,0.7379133379762578,0.7241082234268493,94
PRISM19Q4_independent,original_mclrp,0,7,ARRY-334543::BRD-K46386702-001-02-1,0.14946697936446593,0.6838627729757516,0.6721102156220599,94
PRISM19Q4_independent,original_mclrp,0,8,GDC-0068::BRD-K71480163-001-01-4,0.08603534361417152,0.8090875882022086,0.7939063103750665,94
PRISM19Q4_independent,original_mclrp,0,9,dacomitinib::BRD-K57169635-001-04-5,0.14140335261246328,0.5952363101247186,0.5778742634711114,94
PRISM19Q4_independent,original_mclrp,0,10,uprosertib::BRD-K38332599-001-01-3,0.1412234932298117,0.6141511601737422,0.6081677216323133,94
PRISM19Q4_independent,original_mclrp,0,11,neratinib::BRD-K85606544-001-09-1,0.17900132487506415,0.6834622730891261,0.6726703031900081,94
PRISM19Q4_independent,original_mclrp,0,12,osimertinib::BRD-K42805893-001-04-9,0.2891640557208341,0.6825231433549445,0.6718168169260025,95
PRISM19Q4_independent,original_mclrp,0,13,atiprimod::BRD-K38527262-300-01-0,0.1123099942971581,0.639069482472512,0.6351868957281113,94
PRISM19Q4_independent,original_mclrp,0,14,LY2801653::BRD-K18961567-001-01-1,-0.03760270951184529,0.6951280115131816,0.6834611212636562,94
PRISM19Q4_independent,original_mclrp,0,15,tucatinib::BRD-K26026438-001-01-0,0.332291855561579,0.7491175637968654,0.738595151045221,94
PRISM19Q4_independent,original_mclrp,0,16,canertinib::BRD-K50168500-001-07-9,0.22750769358090542,0.7362583642216332,0.71864205990967,95
