dataset,method,seed,fold,pcc,rmse,mae,n_test
PRISM19Q4_independent,original_mclrp,0,1,0.10618690957360095,0.6750805201840377,0.6592262073101324,2265
PRISM19Q4_independent,imputer_only,0,1,0.6999669331660356,0.103802377862755,0.07259594848087556,2265
PRISM19Q4_independent,ridge_only,0,1,0.6737809148672194,0.10755554409515548,0.07555569424797631,2265
PRISM19Q4_independent,mfmr_base,0,1,0.6986486932607319,0.10405025175961108,0.07276548809036777,2265
PRISM19Q4_independent,mfmr_mutation,0,1,0.6903013684758231,0.10512935699532472,0.07409242644215262,2265
PRISM19Q4_independent,original_mclrp,1,1,0.10618690957360095,0.6750805201840377,0.6592262073101324,2265
PRISM19Q4_independent,imputer_only,1,1,0.6999980227327285,0.10379787071293498,0.07259776822515408,2265
PRISM19Q4_independent,ridge_only,1,1,0.6740461924738332,0.10752280674184649,0.07552787779972253,2265
PRISM19Q4_independent,mfmr_base,1,1,0.6988154180005323,0.10402789214478006,0.07275519698660894,2265
PRISM19Q4_independent,mfmr_mutation,1,1,0.690400065233569,0.10510933586978528,0.07398787759260889,2265
PRISM19Q4_independent,original_mclrp,2,1,0.10618690957360095,0.6750805201840377,0.6592262073101324,2265
PRISM19Q4_independent,imputer_only,2,1,0.7000670114038048,0.10378739855663688,0.07259284940776446,2265
PRISM19Q4_independent,ridge_only,2,1,0.6737427961847532,0.10756162745206337,0.07551642628695002,2265
PRISM19Q4_independent,mfmr_base,2,1,0.6987135348012818,0.1040426491984837,0.07274928157429558,2265
PRISM19Q4_independent,mfmr_mutation,2,1,0.6901774213732523,0.10513978876843251,0.07398947549708368,2265
PRISM19Q4_independent,original_mclrp,3,1,0.10618690957360095,0.6750805201840377,0.6592262073101324,2265
PRISM19Q4_independent,imputer_only,3,1,0.700021968582891,0.10379419816979864,0.07259529486923555,2265
PRISM19Q4_independent,ridge_only,3,1,0.6737183723914905,0.10756641072285995,0.07553781756502113,2265
PRISM19Q4_independent,mfmr_base,3,1,0.698676764053601,0.10404777693473606,0.07275750267321437,2265
PRISM19Q4_independent,mfmr_mutation,3,1,0.6908028427462839,0.10504949712206711,0.07393651791492571,2265
PRISM19Q4_independent,original_mclrp,4,1,0.10618690957360095,0.6750805201840377,0.6592262073101324,2265
PRISM19Q4_independent,imputer_only,4,1,0.7000349192576529,0.10379206102669027,0.0725874361876094,2265
PRISM19Q4_independent,ridge_only,4,1,0.6734787708805512,0.10759186693756069,0.07555407637002452,2265
PRISM19Q4_independent,mfmr_base,4,1,0.698573346203526,0.10406058835150757,0.0727635346106346,2265
PRISM19Q4_independent,mfmr_mutation,4,1,0.6918656534518884,0.10489544077844438,0.07397576219198719,2265
PRISM19Q4_independent,original_mclrp,5,1,0.10618690957360095,0.6750805201840377,0.6592262073101324,2265
PRISM19Q4_independent,imputer_only,5,1,0.6999921442766667,0.10379851357548947,0.07260153039664885,2265
PRISM19Q4_independent,ridge_only,5,1,0.6737971485254322,0.10755432143139079,0.07552440607258289,2265
PRISM19Q4_independent,mfmr_base,5,1,0.6986713482117402,0.1040474077956652,0.07275782095938592,2265
PRISM19Q4_independent,mfmr_mutation,5,1,0.6905543556928339,0.10508430015947795,0.07400627282281586,2265
PRISM19Q4_independent,original_mclrp,6,1,0.10618690957360095,0.6750805201840377,0.6592262073101324,2265
PRISM19Q4_independent,imputer_only,6,1,0.6999216167591517,0.10380921728578417,0.07260138979284442,2265
PRISM19Q4_independent,ridge_only,6,1,0.673656803206105,0.10757121219665948,0.07551215346285839,2265
PRISM19Q4_independent,mfmr_base,6,1,0.6985961658447561,0.10405756949245926,0.0727426393537332,2265
PRISM19Q4_independent,mfmr_mutation,6,1,0.6908188117153654,0.10504507808179195,0.07401103502340928,2265
PRISM19Q4_independent,original_mclrp,7,1,0.10618690957360095,0.6750805201840377,0.6592262073101324,2265
PRISM19Q4_independent,imputer_only,7,1,0.6999392439665464,0.10380668314935543,0.07259087763874736,2265
PRISM19Q4_independent,ridge_only,7,1,0.6736415686494523,0.10757396347589657,0.0755341136560798,2265
PRISM19Q4_independent,mfmr_base,7,1,0.698596293164442,0.10405794154899456,0.07275391789461604,2265
PRISM19Q4_independent,mfmr_mutation,7,1,0.690980641569743,0.10502979081946286,0.0739664752488631,2265
PRISM19Q4_independent,original_mclrp,8,1,0.10618690957360095,0.6750805201840377,0.6592262073101324,2265
PRISM19Q4_independent,imputer_only,8,1,0.6999873015333073,0.10379966532564701,0.07259312873381389,2265
PRISM19Q4_independent,ridge_only,8,1,0.6736840983969614,0.10756782962859517,0.07552023074747974,2265
PRISM19Q4_independent,mfmr_base,8,1,0.6986575893485166,0.10404931511450916,0.07275161765532251,2265
PRISM19Q4_independent,mfmr_mutation,8,1,0.6909268628959793,0.10504464335894251,0.07410940938438011,2265
PRISM19Q4_independent,original_mclrp,9,1,0.10618690957360095,0.6750805201840377,0.6592262073101324,2265
PRISM19Q4_independent,imputer_only,9,1,0.699988569404714,0.10379895008562863,0.07259361499192699,2265
PRISM19Q4_independent,ridge_only,9,1,0.6738207822197476,0.10754993208377216,0.07553927726040349,2265
PRISM19Q4_independent,mfmr_base,9,1,0.698715819649763,0.10404139233630591,0.0727603578014879,2265
PRISM19Q4_independent,mfmr_mutation,9,1,0.6905663052359482,0.10508134444440977,0.07405755913283914,2265
