dataset,seed,fold,n_test,fold_mask_sha256
CCLE,0,1,1136,7d75fa59a90905afd8ab5a6d0b329ea82cd6b2e307166aafecb5273887de36bc
CCLE,0,2,1136,dd73bc7cbdb51b5aa57748472ba7d32a87f77bc52a20019f1bf4422cb408ab6e
CCLE,0,3,1136,785c6ad919cc72742283e000936073d2faa52ba0b6313894e3023bff92567b48
CCLE,0,4,1136,0a05ca2c999b34e17d245631332f6148e5670a346e486401c5f9e4acde74b8e0
CCLE,0,5,1136,22e7393008c049ce36d57b5fb891df08abb82187ae6094366d4a8cc8a32cfa44
CCLE,0,6,1136,30a66ad088801f9fe8e03f124b5e54f0ab86570980550810b1c2e291a2a2ba04
CCLE,0,7,1136,1d9a753b66fb8346c277419a36d8cb1702ad2ecaab5d0e0fc7f8b9bcbfda22de
CCLE,0,8,1136,f0099a7872c93b45d4992c1483408ebf99836e604e5055af4b582aebed7e6fb7
CCLE,0,9,1136,fc34a7b7a3d996d19790cd6924b6090f0e896cd0f976df7b02e9b4c9d34629c7
CCLE,0,10,1136,166465d5f16e59beaf2a4b62880dcd96036a57234b1faa2a1d311b4930897f16
CCLE,1,1,1136,bd683ea226fcee5dd0fbdffe320fbaddd60f07f8f5f4969d3cb825155a34593b
CCLE,1,2,1136,ea211027841e18cba669185a9700e0662591aebdc0107463364703e5d78631a8
CCLE,1,3,1136,b632eecf06a6927c28bef448f7171ea68bfcd662ad82e946e65e81ba5d3ec501
CCLE,1,4,1136,7c3bbf0153a8f445857bacf3252e15c1de1c13fb9e68f706a72eb88d83e96c6d
CCLE,1,5,1136,5a2512aa9094c039b3178c46aba88c63434c5c9ebe9adbfb86e21dfe3309c731
CCLE,1,6,1136,f6efe11b5989a80e64ced0931cc590d1cc0d9525bd7a133f56920a824349bcc0
CCLE,1,7,1136,c03e7ac2f7d0bd7efbb2d58e1ee8e911651cdc8845ceb35d3ca218b21da6fee7
CCLE,1,8,1136,5a0626ea448e48e2e13027d79365dfd7a501f20aa4ab4851c72e2a26dbd6508f
CCLE,1,9,1136,3facb75be55535500504a52af3c7ca68a98bda75a92ccc7a7e40256e7dedd1f0
CCLE,1,10,1136,d7e52b37505744b46762819ede2f3c16f66ddc7934b3bf276dfec80c7aa896dc
CCLE,2,1,1136,99e3b1bf26931973dda78305ebf8b90624fd14a158eff4b10795fc7177b72e7b
CCLE,2,2,1136,106eac50938a3d5eae47b0debc6e64c07a5257e8f19b4fb0052663e3713891b7
CCLE,2,3,1136,3aa45675ce7a2fa178ce9d3982e6ccf23272e1e516fc177a1effc32d6ac1aae4
CCLE,2,4,1136,9e7b3d900b4b7a7000912b65811965f5129a0022329553320f892b33ef9fc7f5
CCLE,2,5,1136,ed56069405d1ac7f11dc1b6f0d8abec3c2747a1a0889bc9178e6b12974a56c5f
CCLE,2,6,1136,c05419a2dd72afa7fa62960d83e66ce45cf1909ccde3c849bfd71d62a7ae9178
CCLE,2,7,1136,8aeddf88be4a13a4b55eeca6e20cfe6c61887ef3171936c7c20abfe3320182ef
CCLE,2,8,1136,fa986bd1438bbe5368d16a47a1bb6f93e989ba481ae5901f3795df28a496e4d6
CCLE,2,9,1136,567cc198d2709586bd9f91ac082cec4370ac376eb242da69156d7c8aff6259b0
CCLE,2,10,1136,99ab0463d3b10c0b7cebbecbd12f10798b7b3dee0177fa05b5a1164096fd98db
CCLE,3,1,1136,55fd2d808a39dee56bce5bbe192ba6ac81d53d6414418ec59f15e9804cd8babf
CCLE,3,2,1136,b8533d66d82e0226e6ead2f89f138ddda8ce905ed249a1338c94eb3345ffc435
